startsAt,homeTeam,awayTeam,homeAssetExternalId,awayAssetExternalId,venue,round,externalMatchId,goalsHome,goalsAway,status
2026-01-03T17:00:00Z,Senegal,Sudan,AFCON_013,AFCON_020,Ibn Batouta Stadium - Tangier,Round of 16,AFCON_R16_1,,,scheduled
2026-01-03T20:00:00Z,Mali,Tunisia,AFCON_002,AFCON_010,Mohammed V Stadium - Casablanca,Round of 16,AFCON_R16_2,,,scheduled
2026-01-04T17:00:00Z,Morocco,Tanzania,AFCON_001,AFCON_012,Prince Moulay Abdellah Stadium - Rabat,Round of 16,AFCON_R16_3,,,scheduled
2026-01-04T20:00:00Z,South Africa,Cameroon,AFCON_006,AFCON_024,Al Barid Stadium - Rabat,Round of 16,AFCON_R16_4,,,scheduled
2026-01-05T17:00:00Z,Egypt,Benin,AFCON_005,AFCON_015,Adrar Stadium - Agadir,Round of 16,AFCON_R16_5,,,scheduled
2026-01-05T20:00:00Z,Nigeria,Mozambique,AFCON_009,AFCON_023,Fez Stadium - Fez,Round of 16,AFCON_R16_6,,,scheduled
2026-01-06T17:00:00Z,Algeria,DR Congo,AFCON_017,AFCON_014,Moulay Hassan Stadium - Rabat,Round of 16,AFCON_R16_7,,,scheduled
2026-01-06T20:00:00Z,Ivory Coast,Burkina Faso,AFCON_021,AFCON_018,Marrakesh Stadium - Marrakesh,Round of 16,AFCON_R16_8,,,scheduled
